Date,compund,neg,neu,pos,Open,High,Low,Close,Volume
10-May-11,-0.9477,0.181,0.775,0.045,205.8,206.88,204.8,205.93,191127
11-May-11,-0.7059,0.112,0.815,0.073,205.99,207.2,204.5,205.44,216078
12-May-11,-0.969,0.176,0.774,0.05,205.01,205.01,203.02,204.52,98190
13-May-11,-0.9814,0.217,0.747,0.036,204.75,205.89,203.55,204.8,113230
16-May-11,-0.9485,0.192,0.737,0.071,204.1,204.7,202.5,203.77,141631
17-May-11,-0.6597,0.146,0.748,0.106,204.55,205.7,204.11,204.42,118444
18-May-11,-0.9517,0.258,0.633,0.109,205,205.45,203.95,205.06,241489
19-May-11,-0.9869,0.148,0.802,0.05,205.07,206.4,204.7,206.06,312800
20-May-11,-0.8225,0.149,0.727,0.124,206,208,205.2,207.79,534913
23-May-11,-0.8432,0.147,0.739,0.114,207.79,208.9,205.35,207.73,1019629
24-May-11,-0.8779,0.12,0.811,0.069,208,208.99,207.05,208.01,221974
25-May-11,-0.9201,0.118,0.808,0.074,208.3,209.4,207,208.3,439176
26-May-11,-0.765,0.116,0.823,0.062,208.6,210.85,208.16,210.04,787418
27-May-11,-0.9791,0.181,0.761,0.059,210,210.95,208.75,210.57,266573
30-May-11,-0.8184,0.094,0.87,0.036,210.01,210.69,208.06,208.56,80996
31-May-11,-0.9638,0.148,0.779,0.073,207.31,209.25,207.01,207.97,393197
1-Jun-11,-0.9928,0.32,0.61,0.07,205.59,206.75,202.15,203.53,702191
2-Jun-11,-0.9888,0.2,0.734,0.066,203,203.79,200.5,201.07,512062
3-Jun-11,-0.9936,0.32,0.68,0,201.5,201.74,199.75,200.2,350203
6-Jun-11,-0.9814,0.167,0.802,0.031,199.6,205.75,199,204.01,797945
7-Jun-11,-0.9922,0.203,0.771,0.027,203.75,207.7,203.25,206.52,590241
8-Jun-11,-0.9686,0.187,0.795,0.018,207,209.4,206.15,208.1,673556
9-Jun-11,-0.9744,0.192,0.748,0.06,208.5,208.85,205.11,205.54,165653
10-Jun-11,-0.9643,0.183,0.738,0.08,206.25,206.44,205.41,205.64,83827
13-Jun-11,-0.9855,0.208,0.762,0.03,206.6,206.7,203,203.66,107803
14-Jun-11,-0.9122,0.136,0.815,0.05,203.98,205.65,203.6,204.26,97645
15-Jun-11,-0.9906,0.316,0.663,0.021,205,205.25,203.5,203.93,98971
16-Jun-11,-0.9857,0.223,0.726,0.051,204,206.25,203,205.11,240650
17-Jun-11,-0.9583,0.162,0.796,0.042,205.1,206.02,203.15,203.35,314769
20-Jun-11,-0.9872,0.268,0.69,0.042,203.75,203.75,199,199.62,277436
21-Jun-11,-0.875,0.194,0.71,0.096,200,203.3,198.5,202.44,224931
22-Jun-11,-0.9764,0.211,0.699,0.09,202.97,205.24,201,202.71,517941
23-Jun-11,0.9517,0.082,0.723,0.195,203,207,203,205.96,675196
24-Jun-11,-0.1045,0.107,0.79,0.103,206.2,206.5,203.26,203.8,195700
27-Jun-11,-0.8779,0.157,0.785,0.059,202.25,204,201.5,202.1,91789
28-Jun-11,-0.8176,0.101,0.872,0.027,202,202,197,197.9,418172
29-Jun-11,-0.9842,0.272,0.659,0.07,198.4,201,198.4,199.3,480613
30-Jun-11,-0.8929,0.17,0.733,0.097,199.97,201.74,198.75,199.3,235080
1-Jul-11,-0.1779,0.095,0.808,0.097,201.5,202,190.99,198.41,453230
4-Jul-11,0.0258,0.1,0.799,0.101,198,204,197.26,203.4,448793
5-Jul-11,-0.9719,0.187,0.74,0.073,203.4,206.7,203.4,205.39,503556
6-Jul-11,-0.8341,0.118,0.788,0.094,205.65,206.54,203.52,204.19,206503
7-Jul-11,-0.9876,0.225,0.765,0.009,204.9,206.25,202,202.9,202381
8-Jul-11,-0.9826,0.232,0.691,0.078,203.29,203.5,200.3,201.82,103039
11-Jul-11,-0.9849,0.186,0.766,0.049,202.3,203.1,200.9,201.74,118688
12-Jul-11,-0.9874,0.256,0.693,0.051,202.49,202.49,199.6,199.88,194921
13-Jul-11,-0.967,0.212,0.716,0.073,200.49,201.2,198.7,198.97,249694
14-Jul-11,0.5792,0.112,0.733,0.155,198.25,199.4,198,198.44,63130
15-Jul-11,-0.2342,0.134,0.747,0.119,199,200.9,198.01,199.65,376452
18-Jul-11,-0.4939,0.074,0.87,0.056,200.69,200.75,198.05,198.54,113538
19-Jul-11,-0.9796,0.193,0.773,0.034,199.99,199.99,197.51,197.83,1001195
20-Jul-11,0.1531,0.117,0.748,0.136,198.25,198.75,195.52,196.07,418241
21-Jul-11,-0.9335,0.178,0.769,0.053,197,198.15,196.36,197.25,230697
22-Jul-11,-0.8934,0.161,0.74,0.1,197.5,200,197,197.4,981401
25-Jul-11,-0.9744,0.171,0.785,0.043,198,198.2,192,192.45,740781
26-Jul-11,-0.9062,0.161,0.75,0.09,192.7,196,192.7,195.32,1069222
27-Jul-11,-0.7579,0.096,0.873,0.031,195.8,196.25,194,194.18,426611
28-Jul-11,-0.5994,0.124,0.768,0.107,194.18,195.45,185.5,188.3,1184361
29-Jul-11,-0.8779,0.166,0.738,0.096,186.18,189.8,185.1,186.43,2195107
1-Aug-11,-0.9468,0.147,0.81,0.044,186.43,189.74,182.55,185.04,524121
2-Aug-11,-0.9674,0.225,0.708,0.067,185,189,184.5,187.36,495838
3-Aug-11,-0.959,0.191,0.726,0.083,187,187,180.5,181.79,532572
4-Aug-11,-0.4951,0.149,0.717,0.134,181.15,185.2,181.15,184.35,666372
5-Aug-11,-0.8625,0.126,0.815,0.059,183.01,183.7,175.14,175.18,1091966
8-Aug-11,-0.9881,0.213,0.745,0.043,173,178.44,166.51,174.76,1131677
9-Aug-11,-0.7096,0.132,0.783,0.085,167.7,172,166.03,166.03,1936303
10-Aug-11,-0.9524,0.214,0.723,0.063,174.25,174.33,169.65,173.53,1058470
11-Aug-11,-0.959,0.167,0.781,0.053,172,175.25,169,174.67,628236
12-Aug-11,-0.9863,0.26,0.709,0.031,175.9,179.94,175.15,176.15,454947
15-Aug-11,-0.4767,0.131,0.75,0.119,178,178,174.3,175.16,177900
16-Aug-11,-0.9913,0.238,0.727,0.035,174.55,175.3,173.7,174.23,241140
17-Aug-11,-0.9471,0.186,0.731,0.083,174,175.88,173.8,174.86,106920
18-Aug-11,0.7269,0.101,0.748,0.151,174.5,175,172.5,174.6,176953
19-Aug-11,-0.9913,0.348,0.652,0,171.9,172.35,169,170.95,125873
22-Aug-11,-0.9647,0.182,0.818,0,170.55,173.5,169.2,170.36,208127
23-Aug-11,-0.9635,0.195,0.784,0.021,170,172.25,169,169.08,235991
24-Aug-11,-0.9671,0.207,0.699,0.094,170.3,171.64,164,165.32,736501
25-Aug-11,-0.936,0.152,0.778,0.07,165.49,170.5,161.61,168.9,829788
29-Aug-11,-0.8555,0.15,0.777,0.073,167,168.5,162,164.83,472862
30-Aug-11,-0.9914,0.314,0.65,0.035,162.99,168.5,162.9,167.78,118337
5-Sep-11,-0.9186,0.198,0.683,0.119,168.01,175.19,167,174.16,508748
6-Sep-11,-0.9501,0.211,0.707,0.082,174.3,180.6,173.99,179.18,893669
7-Sep-11,-0.9169,0.19,0.698,0.112,179.5,182,177.5,179.54,749461
8-Sep-11,-0.9517,0.168,0.769,0.063,180,181.75,177.9,178.36,320103
9-Sep-11,-0.9451,0.181,0.719,0.1,178.49,179.3,175.5,176.06,410654
12-Sep-11,0.0772,0.062,0.882,0.056,175.4,175.4,172.8,173.46,174829
13-Sep-11,-0.9619,0.218,0.671,0.111,173.01,175.5,171,175.26,131489
14-Sep-11,-0.0112,0.141,0.711,0.148,175.01,176,174,174.38,69547
15-Sep-11,-0.9786,0.237,0.66,0.103,174.99,176.5,174.26,174.82,255092
16-Sep-11,-0.9695,0.221,0.712,0.067,174,175.51,174,174.98,206547
19-Sep-11,-0.986,0.239,0.716,0.045,175,175.75,174,174.53,187622
20-Sep-11,-0.9287,0.174,0.74,0.086,175.25,177.8,174.1,177.29,406450
21-Sep-11,-0.3182,0.111,0.787,0.102,177.29,184.9,177.29,183.75,2260718
22-Sep-11,-0.8689,0.161,0.723,0.116,183,184.19,179.6,180.43,557874
23-Sep-11,-0.9477,0.166,0.78,0.054,177.3,178.25,173.31,173.84,1048222
26-Sep-11,-0.6115,0.103,0.8,0.097,171.7,172.99,166.05,167.42,436749
27-Sep-11,-0.9712,0.225,0.697,0.078,169.51,174.49,169.51,173.93,347113
28-Sep-11,-0.9776,0.18,0.782,0.039,174.51,175.49,173,173.56,607390
29-Sep-11,-0.9648,0.192,0.754,0.054,173.5,174.1,172.5,173.4,320896
30-Sep-11,0.2278,0.164,0.672,0.164,173.1,176,172.7,173.27,786558
3-Oct-11,-0.9816,0.27,0.666,0.064,172.9,173.9,172.4,173.16,195325
4-Oct-11,-0.9816,0.203,0.749,0.048,173,175,173,174.15,1355424
5-Oct-11,-0.3182,0.102,0.819,0.079,174.25,174.6,172.51,173.2,592714
6-Oct-11,-0.9081,0.162,0.739,0.1,174.6,174.82,170.86,171.43,515494
7-Oct-11,-0.9274,0.184,0.738,0.078,171.5,172.7,170.55,170.91,296370
10-Oct-11,-0.25,0.062,0.89,0.048,179.45,179.45,170.1,170.97,1858586
11-Oct-11,-0.7351,0.098,0.828,0.074,171.5,171.5,168.5,168.83,733546
12-Oct-11,-0.9081,0.187,0.7,0.113,169.1,169.1,166.12,167.18,713701
13-Oct-11,-0.9793,0.216,0.688,0.096,168.01,169.6,166.25,166.77,475205
14-Oct-11,0,0.13,0.735,0.136,167.29,168.5,164.95,167.89,857079
17-Oct-11,-0.8271,0.127,0.799,0.074,168,169.7,167.11,168.05,721608
18-Oct-11,-0.8913,0.147,0.761,0.092,167.55,168.54,165.51,166.09,437802
19-Oct-11,-0.9254,0.12,0.799,0.081,166.75,166.88,157.79,157.79,1720000
20-Oct-11,0.0516,0.132,0.735,0.133,156.52,162.25,155.99,161.7,1216570
21-Oct-11,-0.91,0.193,0.683,0.124,161.6,162.4,158.5,159.73,386253
25-Oct-11,-0.9571,0.173,0.746,0.081,162,164.95,160.87,161.64,1268926
26-Oct-11,-0.3612,0.138,0.714,0.148,162,162.3,158.35,159.03,283379
27-Oct-11,-0.9528,0.144,0.826,0.03,158.75,160,151.08,151.4,797048
28-Oct-11,-0.9423,0.21,0.686,0.104,152,155.9,152,154.85,742729
31-Oct-11,-0.9686,0.256,0.696,0.048,156.76,162.49,156.45,160.05,1383443
1-Nov-11,-0.9201,0.157,0.769,0.074,161.4,161.4,154,154.28,527379
2-Nov-11,0.0772,0.179,0.621,0.199,154.11,155,152.31,154.54,143011
3-Nov-11,-0.9081,0.159,0.803,0.039,155.5,157.25,154.3,154.94,369710
4-Nov-11,-0.1027,0.058,0.889,0.053,156.45,156.79,155.5,155.77,637127
10-Nov-11,-0.8627,0.141,0.787,0.071,156.35,161.5,156.1,160.41,1363637
14-Nov-11,-0.9753,0.209,0.698,0.093,163.25,163.6,160.51,161.26,709640
15-Nov-11,-0.3707,0.118,0.779,0.103,160.6,161.5,159.15,160.03,971152
16-Nov-11,-0.9736,0.186,0.739,0.075,160.5,160.65,159,159.63,1392511
17-Nov-11,-0.9925,0.237,0.724,0.039,160,162,159.2,160.04,374330
18-Nov-11,-0.8788,0.161,0.76,0.079,160.89,160.9,159.35,160.3,152082
21-Nov-11,-0.296,0.088,0.832,0.08,160.8,161.39,158.5,159.62,387485
22-Nov-11,-0.967,0.171,0.774,0.055,159,159.8,157.25,157.69,895618
23-Nov-11,-0.34,0.052,0.911,0.038,158.9,158.9,153.55,154.2,287382
24-Nov-11,0.8591,0.081,0.769,0.15,154.5,154.52,152.51,153.13,499509
25-Nov-11,-0.9201,0.156,0.777,0.067,153.5,153.85,152,152.31,175812
28-Nov-11,-0.765,0.167,0.714,0.119,151.49,151.49,147.74,148,2411081
29-Nov-11,-0.1926,0.115,0.801,0.084,148,151.5,147.3,148.97,760684
30-Nov-11,-0.9338,0.177,0.738,0.084,149.8,152.6,148.6,151.37,664662
1-Dec-11,-0.9382,0.187,0.74,0.073,150.5,152.3,149.1,151.05,1276456
2-Dec-11,-0.9491,0.167,0.765,0.068,151,151.05,146.6,147.27,516809
7-Dec-11,-0.9612,0.227,0.773,0,147.85,149.7,144,144.96,461397
8-Dec-11,-0.9693,0.216,0.739,0.044,143.41,149.1,143.4,148.57,531755
9-Dec-11,-0.9382,0.13,0.821,0.049,149,149,146.9,147.95,650646
12-Dec-11,-0.9545,0.172,0.808,0.019,148.8,151.8,147.4,147.87,857325
13-Dec-11,-0.802,0.08,0.867,0.053,148.05,148.6,146.2,146.53,215877
14-Dec-11,-0.8582,0.123,0.784,0.093,147,147.4,143.5,144.36,559719
15-Dec-11,-0.9403,0.12,0.863,0.017,144,144,138.5,139.67,537811
16-Dec-11,0.4051,0.096,0.785,0.119,136.51,138,135,137.05,565594
19-Dec-11,-0.9612,0.159,0.765,0.076,139.25,140.89,136,137.26,264775
20-Dec-11,-0.9485,0.143,0.818,0.039,138.9,141.4,137.5,140.7,2416948
21-Dec-11,-0.9062,0.112,0.841,0.047,141,143.51,139.4,139.76,705665
22-Dec-11,-0.93,0.144,0.799,0.057,140,142,139.4,141.5,359906
23-Dec-11,-0.743,0.1,0.822,0.078,141.1,142.6,138.5,139.83,375824
26-Dec-11,-0.872,0.163,0.743,0.094,140.75,141.45,137.6,138.41,269966
27-Dec-11,-0.936,0.208,0.665,0.127,138.6,139.01,136.33,136.84,306497
28-Dec-11,-0.9738,0.186,0.764,0.051,137,137.99,136.66,137.04,218488
29-Dec-11,-0.9919,0.251,0.679,0.069,137.77,138.75,137.36,138.12,293342
30-Dec-11,-0.9468,0.15,0.798,0.051,139.45,139.45,134,134.6,617242
2-Jan-12,-0.9924,0.204,0.748,0.048,134,137.85,133,137.08,1094024
3-Jan-12,-0.7102,0.14,0.746,0.114,137.94,143.93,137.21,143.93,1141535
4-Jan-12,-0.9883,0.195,0.74,0.065,146.52,147.6,144.16,145.5,1159418
5-Jan-12,-0.9022,0.131,0.784,0.085,145.5,146.5,143.5,144.04,672291
6-Jan-12,0.5267,0.1,0.765,0.135,144.5,145.5,143.4,144.8,598738
9-Jan-12,-0.9121,0.14,0.787,0.073,145.69,145.75,144.5,145.47,325181
10-Jan-12,-0.969,0.144,0.817,0.039,145.16,147.34,143.75,146.34,660540
11-Jan-12,-0.9686,0.161,0.787,0.053,146.34,146.65,144.9,145.48,555618
12-Jan-12,-0.9612,0.152,0.764,0.084,145.05,147.3,144.2,146.83,337713
13-Jan-12,-0.9874,0.165,0.809,0.026,146.9,148.99,146.9,148.06,899898
16-Jan-12,-0.91,0.142,0.773,0.085,148.95,149.39,147.7,149.03,608452
17-Jan-12,-0.8271,0.106,0.842,0.052,149.26,150.39,148,149.65,663428
18-Jan-12,-0.9325,0.161,0.743,0.095,150,151.87,148.9,151.34,1035546
19-Jan-12,0.304,0.081,0.826,0.093,151,154.73,151,152.39,794360
20-Jan-12,-0.9419,0.187,0.728,0.085,153.5,160,153,159.8,1220180
23-Jan-12,-0.9798,0.188,0.767,0.045,165,167.79,163,167.79,1498450
24-Jan-12,-0.9595,0.172,0.765,0.063,170,173.65,168.52,169.42,2015892
25-Jan-12,-0.9738,0.178,0.744,0.078,168.51,170.69,167.5,168.05,489180
26-Jan-12,-0.9824,0.19,0.748,0.062,168.05,169.89,168.01,168.75,373337
27-Jan-12,-0.4889,0.059,0.892,0.05,169.05,170.85,166.8,167.46,565803
30-Jan-12,-0.9393,0.112,0.844,0.044,167.57,172.1,164.25,169.87,754628
31-Jan-12,-0.9793,0.195,0.746,0.059,171.5,175.45,170.3,172.83,1567456
1-Feb-12,-0.9378,0.16,0.749,0.091,173.95,175.75,172.9,174.54,585790
2-Feb-12,-0.9679,0.129,0.803,0.068,174.55,182.1,174.55,180.34,2602843
3-Feb-12,-0.9931,0.213,0.769,0.017,182.9,183.3,179,181.45,883798
6-Feb-12,-0.9712,0.234,0.686,0.08,181.5,185.4,179.98,181.94,1465309
7-Feb-12,0.4019,0.073,0.836,0.092,182.99,183.49,180.04,182.41,747944
8-Feb-12,-0.9929,0.2,0.741,0.058,182.7,184,178.8,179.59,687005
9-Feb-12,-0.9264,0.116,0.835,0.049,179.3,181.7,179,179.95,283191
10-Feb-12,-0.9282,0.114,0.845,0.041,179.95,184.5,179.25,183.02,976083
13-Feb-12,-0.8822,0.141,0.781,0.078,182,187.11,180.76,186.07,801714
14-Feb-12,-0.9925,0.221,0.746,0.033,186.8,187.75,185.5,185.78,306764
15-Feb-12,-0.6966,0.103,0.818,0.079,185.78,186.88,184,185.58,217135
16-Feb-12,-0.987,0.192,0.753,0.055,186.5,187.75,185.1,185.85,544045
17-Feb-12,-0.9596,0.159,0.764,0.077,186.9,190.9,185.61,187.25,1487774
20-Feb-12,-0.9584,0.161,0.762,0.077,187.1,188.5,185.1,185.74,542855
21-Feb-12,-0.9717,0.127,0.837,0.036,186,188.18,177.07,179.39,1798308
22-Feb-12,-0.9724,0.189,0.738,0.073,179.5,180.9,175.55,177.72,648173
23-Feb-12,-0.9806,0.167,0.779,0.054,178.1,178.1,172.5,173.26,641193
24-Feb-12,-0.9153,0.152,0.737,0.111,173.5,180.24,173.5,179.1,1070418
27-Feb-12,-0.9468,0.163,0.765,0.072,178.6,181.99,177.5,179.6,535661
28-Feb-12,-0.9552,0.128,0.796,0.076,179.8,182,179.01,179.67,460179
29-Feb-12,-0.9601,0.135,0.799,0.066,180.69,181.47,176,176.62,623727
1-Mar-12,-0.9592,0.147,0.79,0.063,177.5,177.8,174.65,175.54,455715
2-Mar-12,-0.9557,0.15,0.806,0.044,176,179.5,175.25,178.63,574243
5-Mar-12,-0.959,0.167,0.767,0.066,179.49,181.2,177.51,178.15,1215898
6-Mar-12,-0.9856,0.197,0.734,0.069,178.35,179.81,176.13,177.03,794780
7-Mar-12,-0.9508,0.155,0.769,0.076,177.5,177.65,175.52,176.57,211820
8-Mar-12,-0.9781,0.2,0.713,0.087,177,178.99,176.5,178.23,971883
9-Mar-12,-0.9898,0.25,0.679,0.071,178.7,185,178.7,183.68,1929065
12-Mar-12,-0.9565,0.166,0.774,0.06,185,185.5,179.1,180.41,768343
13-Mar-12,-0.9578,0.169,0.768,0.063,180.15,182.5,178.36,179,642216
14-Mar-12,-0.9514,0.122,0.835,0.043,179.95,181.4,179.2,180.51,435754
15-Mar-12,-0.9489,0.146,0.808,0.045,161,163.75,161,163.41,973394
16-Mar-12,-0.0516,0.09,0.821,0.089,163.98,165.2,162,163.81,1783510
19-Mar-12,-0.9423,0.136,0.807,0.057,163.01,164.5,161.3,162.02,782822
20-Mar-12,-0.9471,0.144,0.777,0.079,163.2,169.89,161.3,166.95,827140
21-Mar-12,-0.886,0.134,0.787,0.079,168.9,169.55,164.8,165.22,384528
22-Mar-12,-0.6908,0.119,0.783,0.099,165.05,165.5,162.91,163.09,366217
26-Mar-12,-0.9882,0.214,0.739,0.047,163.02,164,162.5,162.95,107937
27-Mar-12,-0.4588,0.113,0.795,0.092,163.1,169,162.8,167.45,862725
28-Mar-12,-0.975,0.181,0.759,0.06,167.99,173.79,167.99,170.88,1272770
29-Mar-12,-0.9674,0.176,0.755,0.07,171.3,176.9,170,174.42,1433261
30-Mar-12,-0.9756,0.18,0.777,0.043,174.5,176.1,173.5,175.44,587224
2-Apr-12,-0.9856,0.198,0.758,0.044,175.99,176.9,174.02,175.17,473010
3-Apr-12,-0.9855,0.221,0.734,0.046,175.09,175.15,172.26,173.78,406557
4-Apr-12,0.2129,0.106,0.761,0.133,175.25,179.5,175,176.59,2239608
5-Apr-12,-0.9245,0.137,0.806,0.057,177.5,177.5,174.01,174.1,662856
6-Apr-12,-0.9819,0.16,0.783,0.057,174.05,176,173.3,173.8,200314
9-Apr-12,-0.9413,0.176,0.718,0.107,174.7,175,172.2,173.29,136123
10-Apr-12,0.9485,0.082,0.746,0.172,173.9,175.74,172.22,173.29,555789
11-Apr-12,-0.4215,0.09,0.827,0.084,173.5,175,171.05,172.08,686398
